date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2025-06-10T00:00:00.000Z,202.67,204.35,200.57,200.6,54672608,202.67,204.35,200.57,200.6,54672608,0.0,1.0
2025-06-11T00:00:00.000Z,198.78,204.5,198.41,203.5,60989857,198.78,204.5,198.41,203.5,60989857,0.0,1.0
2025-06-12T00:00:00.000Z,199.2,199.68,197.3601,199.08,43904635,199.2,199.68,197.3601,199.08,43904635,0.0,1.0
2025-06-13T00:00:00.000Z,196.45,200.37,195.7,199.73,51447349,196.45,200.37,195.7,199.73,51447349,0.0,1.0
2025-06-16T00:00:00.000Z,198.42,198.685,196.5636,197.3,43020691,198.42,198.685,196.5636,197.3,43020691,0.0,1.0
2025-06-17T00:00:00.000Z,195.64,198.39,195.21,197.2,38856152,195.64,198.39,195.21,197.2,38856152,0.0,1.0
2025-06-18T00:00:00.000Z,196.58,197.57,195.07,195.94,45394689,196.58,197.57,195.07,195.94,45394689,0.0,1.0
2025-06-20T00:00:00.000Z,201.0,201.7,196.855,198.235,96813542,201.0,201.7,196.855,198.235,96813542,0.0,1.0
2025-06-23T00:00:00.000Z,201.5,202.3,198.96,201.625,55814272,201.5,202.3,198.96,201.625,55814272,0.0,1.0
2025-06-24T00:00:00.000Z,200.3,203.44,200.2,202.59,54064033,200.3,203.44,200.2,202.59,54064033,0.0,1.0
2025-06-25T00:00:00.000Z,201.56,203.67,200.6201,201.45,39525730,201.56,203.67,200.6201,201.45,39525730,0.0,1.0
2025-06-26T00:00:00.000Z,201.0,202.64,199.46,201.43,50799121,201.0,202.64,199.46,201.43,50799121,0.0,1.0
2025-06-27T00:00:00.000Z,201.08,203.22,200.0,201.89,73188571,201.08,203.22,200.0,201.89,73188571,0.0,1.0
2025-06-30T00:00:00.000Z,205.17,207.39,199.2607,202.01,91912816,205.17,207.39,199.2607,202.01,91912816,0.0,1.0
2025-07-01T00:00:00.000Z,207.82,210.1865,206.1401,206.665,78788867,207.82,210.1865,206.1401,206.665,78788867,0.0,1.0
2025-07-02T00:00:00.000Z,212.44,213.34,208.14,208.91,67941811,212.44,213.34,208.14,208.91,67941811,0.0,1.0
2025-07-03T00:00:00.000Z,213.55,214.65,211.8101,212.145,34955836,213.55,214.65,211.8101,212.145,34955836,0.0,1.0
2025-07-07T00:00:00.000Z,209.95,216.23,208.8,212.68,50228984,209.95,216.23,208.8,212.68,50228984,0.0,1.0
2025-07-08T00:00:00.000Z,210.01,211.43,208.45,210.1,42848928,210.01,211.43,208.45,210.1,42848928,0.0,1.0
2025-07-09T00:00:00.000Z,211.14,211.33,207.22,209.53,48749367,211.14,211.33,207.22,209.53,48749367,0.0,1.0
