date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2025-06-10T00:00:00.000Z,217.61,217.69,214.15,216.78,31303317,217.61,217.69,214.15,216.78,31303317,0.0,1.0
2025-06-11T00:00:00.000Z,213.2,218.4,212.89,217.41,39325981,213.2,218.4,212.89,217.41,39325981,0.0,1.0
2025-06-12T00:00:00.000Z,213.24,213.58,211.33,211.78,27639991,213.24,213.58,211.33,211.78,27639991,0.0,1.0
2025-06-13T00:00:00.000Z,212.1,214.05,209.62,209.96,29337763,212.1,214.05,209.62,209.96,29337763,0.0,1.0
2025-06-16T00:00:00.000Z,216.1,217.06,211.6,212.31,33284158,216.1,217.06,211.6,212.31,33284158,0.0,1.0
2025-06-17T00:00:00.000Z,214.82,217.41,214.56,215.195,32086262,214.82,217.41,214.56,215.195,32086262,0.0,1.0
2025-06-18T00:00:00.000Z,212.52,217.96,212.34,215.09,44360509,212.52,217.96,212.34,215.09,44360509,0.0,1.0
2025-06-20T00:00:00.000Z,209.69,214.89,208.2709,214.68,75350733,209.69,214.89,208.2709,214.68,75350733,0.0,1.0
2025-06-23T00:00:00.000Z,208.47,210.39,207.3101,209.79,37311725,208.47,210.39,207.3101,209.79,37311725,0.0,1.0
2025-06-24T00:00:00.000Z,212.77,214.34,211.045,212.135,38378757,212.77,214.34,211.045,212.135,38378757,0.0,1.0
2025-06-25T00:00:00.000Z,211.99,216.03,211.11,214.615,31755698,211.99,216.03,211.11,214.615,31755698,0.0,1.0
2025-06-26T00:00:00.000Z,217.12,218.035,212.01,213.12,50480814,217.12,218.035,212.01,213.12,50480814,0.0,1.0
2025-06-27T00:00:00.000Z,223.3,223.3,216.74,219.92,119217138,223.3,223.3,216.74,219.92,119217138,0.0,1.0
2025-06-30T00:00:00.000Z,219.39,223.82,219.12,223.52,58887780,219.39,223.82,219.12,223.52,58887780,0.0,1.0
2025-07-01T00:00:00.000Z,220.46,221.875,217.93,219.5,39256830,220.46,221.875,217.93,219.5,39256830,0.0,1.0
2025-07-02T00:00:00.000Z,219.92,221.6,219.06,219.73,30894178,219.92,221.6,219.06,219.73,30894178,0.0,1.0
2025-07-03T00:00:00.000Z,223.41,224.01,221.36,221.82,29632353,223.41,224.01,221.36,221.82,29632353,0.0,1.0
2025-07-07T00:00:00.000Z,223.47,224.29,222.37,223.0,36604139,223.47,224.29,222.37,223.0,36604139,0.0,1.0
2025-07-08T00:00:00.000Z,219.36,224.0,218.43,223.915,45691987,219.36,224.0,218.43,223.915,45691987,0.0,1.0
2025-07-09T00:00:00.000Z,222.54,224.29,220.47,221.07,38155121,222.54,224.29,220.47,221.07,38155121,0.0,1.0
