date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2025-06-10T00:00:00.000Z,603.08,603.47,599.09,600.22,66246973,601.2980852796,601.6869329503,597.3198744945,598.4465356943,66246973,0.0,1.0
2025-06-11T00:00:00.000Z,601.36,605.06,599.27,604.19,73658225,599.5831673472,603.2722349925,597.4993426502,602.4048055732,73658225,0.0,1.0
2025-06-12T00:00:00.000Z,603.75,603.75,599.52,600.01,64129003,601.966105637,601.966105637,597.7486039776,598.2371561793,64129003,0.0,1.0
2025-06-13T00:00:00.000Z,597.0,601.85,595.48,598.5,89505996,595.2360497976,600.0717195488,593.720540927,596.7316177619,89505996,0.0,1.0
2025-06-16T00:00:00.000Z,602.68,604.45,600.22,600.4,79984125,600.8992671558,602.6640373537,598.4465356943,598.62600385,79984125,0.0,1.0
2025-06-17T00:00:00.000Z,597.53,601.75,596.76,600.21,82209365,595.7644838116,599.9720150179,594.9967589233,598.4365652412,82209365,0.0,1.0
2025-06-18T00:00:00.000Z,597.44,601.22,596.47,598.44,76605029,595.6747497337,599.4435810038,594.7076157835,596.6717950433,76605029,0.0,1.0
2025-06-20T00:00:00.000Z,594.28,599.46,592.86,598.38,94051374,594.28,599.46,592.86,598.38,94051374,1.761117,1.0
2025-06-23T00:00:00.000Z,600.15,600.54,591.89,595.04,87426039,600.15,600.54,591.89,595.04,87426039,0.0,1.0
2025-06-24T00:00:00.000Z,606.78,607.8499,603.41,604.33,67735293,606.78,607.8499,603.41,604.33,67735293,0.0,1.0
2025-06-25T00:00:00.000Z,607.12,608.61,605.54,607.91,62114767,607.12,608.61,605.54,607.91,62114767,0.0,1.0
2025-06-26T00:00:00.000Z,611.87,612.31,608.37,608.99,78548361,611.87,612.31,608.37,608.99,78548361,0.0,1.0
2025-06-27T00:00:00.000Z,614.91,616.39,610.83,612.88,86258398,614.91,616.39,610.83,612.88,86258398,0.0,1.0
2025-06-30T00:00:00.000Z,617.85,619.22,615.04,617.38,92502541,617.85,619.22,615.04,617.38,92502541,0.0,1.0
2025-07-01T00:00:00.000Z,617.65,618.83,615.52,616.36,70030140,617.65,618.83,615.52,616.36,70030140,0.0,1.0
2025-07-02T00:00:00.000Z,620.45,620.49,616.61,617.24,66510374,620.45,620.49,616.61,617.24,66510374,0.0,1.0
2025-07-03T00:00:00.000Z,625.34,626.28,622.43,622.45,51065789,625.34,626.28,622.43,622.45,51065789,0.0,1.0
2025-07-07T00:00:00.000Z,620.68,624.03,617.87,623.36,74814505,620.68,624.03,617.87,623.36,74814505,0.0,1.0
2025-07-08T00:00:00.000Z,620.34,622.11,619.52,621.35,59024585,620.34,622.11,619.52,621.35,59024585,0.0,1.0
2025-07-09T00:00:00.000Z,624.06,624.72,620.9105,622.77,66113326,624.06,624.72,620.9105,622.77,66113326,0.0,1.0
