date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2025-06-10T00:00:00.000Z,702.4,703.23,691.56,701.345,10850146,701.8751830583,702.7045629016,691.0432824542,700.8209713298,10850146,0.0,1.0
2025-06-11T00:00:00.000Z,694.14,708.8707,691.99,703.705,9582508,693.6213547382,708.3410483018,691.4729611682,703.1792079927,9582508,0.0,1.0
2025-06-12T00:00:00.000Z,693.36,695.38,687.0,693.3,7322730,692.841937536,694.860428239,686.4866895801,692.7819823666,7322730,0.0,1.0
2025-06-13T00:00:00.000Z,682.87,694.57,681.01,687.95,9274441,682.35977542,694.0510334522,680.5011651688,687.4359797622,9274441,0.0,1.0
2025-06-16T00:00:00.000Z,702.12,707.15,693.5103,699.33,13720288,702.12,707.15,693.5103,699.33,13720288,0.525,1.0
2025-06-17T00:00:00.000Z,697.23,705.97,696.06,702.0,10066110,697.23,705.97,696.06,702.0,10066110,0.0,1.0
2025-06-18T00:00:00.000Z,695.77,701.59,694.9,698.18,10068255,695.77,701.59,694.9,698.18,10068255,0.0,1.0
2025-06-20T00:00:00.000Z,682.35,701.8197,678.67,700.75,22538640,682.35,701.8197,678.67,700.75,22538640,0.0,1.0
2025-06-23T00:00:00.000Z,698.53,699.05,678.75,683.69,11080055,698.53,699.05,678.75,683.69,11080055,0.0,1.0
2025-06-24T00:00:00.000Z,712.2,713.19,702.11,704.885,13823180,712.2,713.19,702.11,704.885,13823180,0.0,1.0
2025-06-25T00:00:00.000Z,708.68,716.58,705.38,713.315,9320436,708.68,716.58,705.38,713.315,9320436,0.0,1.0
2025-06-26T00:00:00.000Z,726.09,728.22,711.05,714.355,13964793,726.09,728.22,711.05,714.355,13964793,0.0,1.0
2025-06-27T00:00:00.000Z,733.63,735.43,725.86,726.515,18775735,733.63,735.43,725.86,726.515,18775735,0.0,1.0
2025-06-30T00:00:00.000Z,738.09,747.9,734.25,744.55,15402105,738.09,747.9,734.25,744.55,15402105,0.0,1.0
2025-07-01T00:00:00.000Z,719.22,737.7499,715.37,736.875,13431248,719.22,737.7499,715.37,736.875,13431248,0.0,1.0
2025-07-02T00:00:00.000Z,713.57,720.3,712.8,715.325,9336740,713.57,720.3,712.8,715.325,9336740,0.0,1.0
2025-07-03T00:00:00.000Z,719.01,729.03,714.42,726.61,8601653,719.01,729.03,714.42,726.61,8601653,0.0,1.0
2025-07-07T00:00:00.000Z,718.35,727.0,713.51,717.6,9457080,718.35,727.0,713.51,717.6,9457080,0.0,1.0
2025-07-08T00:00:00.000Z,720.67,722.9099,714.81,721.57,7770693,720.67,722.9099,714.81,721.57,7770693,0.0,1.0
2025-07-09T00:00:00.000Z,732.78,737.53,722.715,722.715,11417963,732.78,737.53,722.715,722.715,11417963,0.0,1.0
