date,open,high,low,close,volume,dividends,stock splits,returns,sma5,sma20,psi,volatility,rho,momentum,q_raw,volume_ma,f,coherence,optimal_coherence,coherence_deviation,wisdom_emotion_ratio,we_imbalance_cost,volatility_change,volatility_cost,volume_zscore,volume_cost,trend_change,reversal_cost,truth_cost,cumulative_truth_cost,truth_cost_acceleration
2025-04-11 00:00:00-04:00,251.83999633789062,257.739990234375,241.36000061035156,252.30999755859375,128948100,0.0,0.0,,,,,,,,,,,,0.6,,,0.0,,,0.458567468264387,0.0,,,,,
2025-04-14 00:00:00-04:00,258.3599853515625,261.79998779296875,245.92999267578125,252.35000610351562,100135200,0.0,0.0,0.00015856900364230597,,,,,,,,,,,0.6,,,0.0,,,0.3716363142162432,0.0,,,,,
2025-04-15 00:00:00-04:00,249.91000366210938,258.75,247.5399932861328,254.11000061035156,79594300,0.0,0.0,0.0069744183248166,,,,,,,,,,,0.6,,,0.0,,,0.963493880638102,0.0,,,,,
2025-04-16 00:00:00-04:00,247.61000061035156,251.97000122070312,233.88999938964844,241.5500030517578,112378700,0.0,0.0,-0.049427403598542585,,,,,,,,,,,0.6,,,0.0,,,0.01885682965198222,0.0,,,,,
2025-04-17 00:00:00-04:00,243.47000122070312,244.33999633789062,237.67999267578125,241.3699951171875,83404800,0.0,0.0,-0.0007452201709629014,248.33800048828124,,,,,,,,,,0.6,,,0.0,,,0.8536996040070639,0.0,,,,,
2025-04-21 00:00:00-04:00,230.25999450683594,232.2100067138672,222.7899932861328,227.5,97768000,0.0,0.0,-0.05746362595919796,243.3760009765625,,,,,-0.020100652480048907,1.0,,,,0.6,,,0.0,,,0.43984390157774267,0.0,,,,,
2025-04-22 00:00:00-04:00,230.9600067138672,242.7899932861328,229.85000610351562,237.97000122070312,120858500,0.0,0.0,0.04602198338770602,240.5,,,,,-0.010927969603236165,0.5463984801618083,,,,0.6,,,0.0,,,0.22547685542238544,0.0,,,,,
2025-04-23 00:00:00-04:00,254.86000061035156,259.45001220703125,244.42999267578125,250.74000549316406,150381900,0.0,0.0,0.0536622440095611,239.8260009765625,,,,,-0.0015904044662872652,0.07952022331436326,,,,0.6,,,0.0,,,1.0761527107402686,0.0,,,,,
2025-04-24 00:00:00-04:00,250.5,259.5400085449219,249.1999969482422,259.510009765625,94464200,0.0,0.0,0.0349764859229853,243.41800231933593,,,,,0.015290373438018312,0.7645186719009156,,,,0.6,,,0.0,,,0.5350383199306161,0.0,,,,,
2025-04-25 00:00:00-04:00,261.69000244140625,286.8500061035156,259.6300048828125,284.95001220703125,167560700,0.0,0.0,0.09803091011549903,252.13400573730468,,,,,0.0350455994953107,1.0,,,,0.6,,,0.0,,,1.5711360251056485,0.0,,,,,
