ticker,coherence,psi,rho,q_raw,f,trend_strength,volatility,momentum,rsi,last_price,volume_ratio,price_change_pct
TSLA,0.342,0.493,0.266,0.125,0.445,-0.0493,55.23,-0.0025,41.7,295.88,0.89,-9.26
GME,0.215,0.274,0.179,0.197,0.2,-0.0274,91.68,-0.0039,51.6,23.19,0.4,-23.08
