date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2025-06-10T00:00:00.000Z,534.21,534.9,528.89,531.17,40664795,533.6167033396,534.3059370217,528.3026117618,530.5800795808,40664795,0.0,1.0
2025-06-11T00:00:00.000Z,532.41,536.78,530.11,535.62,53701033,531.8187024298,536.183849083,529.5212568229,535.0251373856,53701033,0.0,1.0
2025-06-12T00:00:00.000Z,533.66,534.6438,530.84,531.09,34104887,533.0673141727,534.0500215588,530.2504460807,530.5001684293,34104887,0.0,1.0
2025-06-13T00:00:00.000Z,526.96,531.87,525.73,527.68,55814443,526.3747552308,531.2793021569,525.1461212758,527.0939555947,55814443,0.0,1.0
2025-06-16T00:00:00.000Z,534.29,535.37,530.45,530.5,37622051,533.6966144911,534.775415037,529.8608792169,529.9108236867,37622051,0.0,1.0
2025-06-17T00:00:00.000Z,529.08,533.325,527.91,531.71,42180866,528.4924007467,532.7326862256,527.3237001554,531.1194798538,42180866,0.0,1.0
2025-06-18T00:00:00.000Z,528.99,532.55,527.4,530.1,43983522,528.4025007012,531.958546945,526.8142665643,529.5112679289,43983522,0.0,1.0
2025-06-20T00:00:00.000Z,526.83,533.56,524.88,532.26,61643519,526.2448996095,532.9674252333,524.2970652906,531.6688690207,61643519,0.0,1.0
2025-06-23T00:00:00.000Z,531.65,532.17,523.65,526.81,50666146,531.65,532.17,523.65,526.81,50666146,0.59111,1.0
2025-06-24T00:00:00.000Z,539.78,540.7,536.27,536.89,45441982,539.78,540.7,536.27,536.89,45441982,0.0,1.0
2025-06-25T00:00:00.000Z,541.16,543.31,539.38,542.06,44804168,541.16,543.31,539.38,542.06,44804168,0.0,1.0
2025-06-26T00:00:00.000Z,546.22,546.67,541.52,543.35,43811432,546.22,546.67,541.52,543.35,43811432,0.0,1.0
2025-06-27T00:00:00.000Z,548.09,549.99,544.545,547.26,57577147,548.09,549.99,544.545,547.26,57577147,0.0,1.0
2025-06-30T00:00:00.000Z,551.64,552.8,549.01,551.26,45548742,551.64,552.8,549.01,551.26,45548742,0.0,1.0
2025-07-01T00:00:00.000Z,546.99,550.71,544.66,549.73,56166736,546.99,550.71,544.66,549.73,56166736,0.0,1.0
2025-07-02T00:00:00.000Z,550.8,551.0,546.12,546.16,36538281,550.8,551.0,546.12,546.16,36538281,0.0,1.0
2025-07-03T00:00:00.000Z,556.22,557.2,553.18,553.18,26443524,556.22,557.2,553.18,553.18,26443524,0.0,1.0
2025-07-07T00:00:00.000Z,552.03,554.34,549.58,553.52,45349323,552.03,554.34,549.58,553.52,45349323,0.0,1.0
2025-07-08T00:00:00.000Z,552.34,554.01,551.1,553.38,36153258,552.34,554.01,551.1,553.38,36153258,0.0,1.0
2025-07-09T00:00:00.000Z,556.25,557.63,553.1,554.48,43045534,556.25,557.63,553.1,554.48,43045534,0.0,1.0
