date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2025-06-10T00:00:00.000Z,470.92,472.8,466.96,471.185,15375944,470.92,472.8,466.96,471.185,15375944,0.0,1.0
2025-06-11T00:00:00.000Z,472.62,475.47,469.655,470.02,16399176,472.62,475.47,469.655,470.02,16399176,0.0,1.0
2025-06-12T00:00:00.000Z,478.87,480.415,473.52,475.02,18950582,478.87,480.415,473.52,475.02,18950582,0.0,1.0
2025-06-13T00:00:00.000Z,474.96,479.18,472.76,476.41,16814456,474.96,479.18,472.76,476.41,16814456,0.0,1.0
2025-06-16T00:00:00.000Z,479.14,480.6943,475.0,475.21,15626104,479.14,480.6943,475.0,475.21,15626104,0.0,1.0
2025-06-17T00:00:00.000Z,478.04,478.7399,474.08,475.395,15414128,478.04,478.7399,474.08,475.395,15414128,0.0,1.0
2025-06-18T00:00:00.000Z,480.24,481.0,474.46,478.0,17526452,480.24,481.0,474.46,478.0,17526452,0.0,1.0
2025-06-20T00:00:00.000Z,477.4,483.46,476.87,482.23,37576206,477.4,483.46,476.87,482.23,37576206,0.0,1.0
2025-06-23T00:00:00.000Z,486.0,487.75,472.51,478.21,24863952,486.0,487.75,472.51,478.21,24863952,0.0,1.0
2025-06-24T00:00:00.000Z,490.11,491.849,486.795,488.95,22305642,490.11,491.849,486.795,488.95,22305642,0.0,1.0
2025-06-25T00:00:00.000Z,492.27,494.5556,489.39,492.04,17495099,492.27,494.5556,489.39,492.04,17495099,0.0,1.0
2025-06-26T00:00:00.000Z,497.45,498.04,492.81,492.98,21578853,497.45,498.04,492.81,492.98,21578853,0.0,1.0
2025-06-27T00:00:00.000Z,495.94,499.3,493.03,497.55,34539236,495.94,499.3,493.03,497.55,34539236,0.0,1.0
2025-06-30T00:00:00.000Z,497.41,500.76,495.33,497.04,28368991,497.41,500.76,495.33,497.04,28368991,0.0,1.0
2025-07-01T00:00:00.000Z,492.05,498.05,490.98,496.47,19945375,492.05,498.05,490.98,496.47,19945375,0.0,1.0
2025-07-02T00:00:00.000Z,491.09,493.5,488.7,489.99,16319641,491.09,493.5,488.7,489.99,16319641,0.0,1.0
2025-07-03T00:00:00.000Z,498.84,500.13,493.44,493.81,13984829,498.84,500.13,493.44,493.81,13984829,0.0,1.0
2025-07-07T00:00:00.000Z,497.72,498.75,495.225,497.38,13981605,497.72,498.75,495.225,497.38,13981605,0.0,1.0
2025-07-08T00:00:00.000Z,496.62,498.2,494.11,497.24,11846586,496.62,498.2,494.11,497.24,11846586,0.0,1.0
2025-07-09T00:00:00.000Z,503.51,506.78,499.74,500.3,18659538,503.51,506.78,499.74,500.3,18659538,0.0,1.0
